Dam,Feature,Dependent_Metric,Trend,p,slope,intercept
upper,Side Channel,Temperature,no trend,1,-2.1,3.6
upper,Pool,Temperature,no trend,0.5926275353,-0.3,2.7
upper,Main Channel,Temperature,no trend,1,-1.4,2.9
upper,Below Confluence,Temperature,no trend,1,0.1,1.2
upper,Side Channel,PO4,no trend,1,0.0015,0.0175
upper,Pool,PO4,no trend,0.1023575256,0.0004642857143,0.01614285714
upper,Main Channel,PO4,no trend,1,0.0025,0.0155
upper,Below Confluence,PO4,no trend,1,0.0015,0.0175
upper,Side Channel,NOx,no trend,1,-0.0005,0.0395
upper,Pool,NOx,no trend,0.4544273023,0.0001547619048,0.03738095238
upper,Main Channel,NOx,no trend,1,0.001,0.038
upper,Below Confluence,NOx,no trend,1,0.001,0.038
upper,Side Channel,NH4,no trend,1,-0.003,0.019
upper,Pool,NH4,no trend,0.5361867719,-0.0003125,0.01525
upper,Main Channel,NH4,no trend,1,0.001,0.013
upper,Below Confluence,NH4,no trend,1,0.001,0.013
upper,Side Channel,EC,no trend,1,-2.45,160.65
upper,Pool,EC,no trend,0.265510389,-2.478571429,169.7142857
upper,Main Channel,EC,no trend,1,-8.7,168.9
upper,Below Confluence,EC,no trend,1,1.65,152.45
lower,Side Channel,Temperature,no trend,1,-1,2.5
lower,Pool,Temperature,no trend,0.4544273023,0,1.2
lower,Main Channel,Temperature,no trend,1,-1.25,2.55
lower,Below Confluence,Temperature,no trend,1,-2.5,4.7
lower,Side Channel,PO4,no trend,1,0.0025,0.0145
lower,Pool,PO4,no trend,0.6179886443,0.000225,0.0171
lower,Main Channel,PO4,no trend,1,0.0015,0.0155
lower,Below Confluence,PO4,no trend,1,0.0015,0.0185
lower,Side Channel,NOx,no trend,1,0.002,0.034
lower,Pool,NOx,no trend,1,0.0009166666667,0.03333333333
lower,Main Channel,NOx,no trend,1,0.0005,0.0335
lower,Below Confluence,NOx,no trend,1,0,0.032
lower,Side Channel,NH4,no trend,1,0.003,0.009
lower,Pool,NH4,no trend,0.3864762308,0.0007857142857,0.01485714286
lower,Main Channel,NH4,no trend,1,0.002,0.011
lower,Below Confluence,NH4,no trend,1,0.0015,0.0125
lower,Side Channel,EC,no trend,1,2.65,152.25
lower,Pool,EC,no trend,1,0.34375,153.025
lower,Main Channel,EC,no trend,1,1.4,153.1
lower,Below Confluence,EC,no trend,1,12.3,143.8
